#size,std::unorder_set,std::set,bommer,collision rate,SU unorder_set,SU set
1,3918778,5300089,7124898,1000.000000,1.352485,0.743883
2,3760647,5846226,7109167,1000.000000,1.554580,0.822350
4,3263506,6172031,7199355,1000.000000,1.891227,0.857303
8,3793312,5129759,6171187,1000.000000,1.352317,0.831243
16,3546492,5756275,6566452,1000.000000,1.623090,0.876619
32,4312711,6176350,6972462,1000.000000,1.432127,0.885821
64,3327720,6983893,6449762,1000.000000,2.098702,1.082814
128,3502573,6382376,7221711,1000.000000,1.822196,0.883776
256,3701467,5504487,6550588,988.281250,1.487110,0.840304
512,3920562,5016958,7362813,859.375000,1.279653,0.681391
1024,3455458,6189222,5164978,632.812500,1.791144,1.198306
2048,3232306,5108470,4616719,405.273438,1.580441,1.106515
4096,3451024,4978521,3185397,230.224609,1.442621,1.562920
8192,3685788,6024513,2414808,121.704102,1.634525,2.494821
16384,3416351,5313693,1797094,62.500000,1.555371,2.956825
32768,3406662,4860076,1700400,62.500000,1.426639,2.858196
65536,3986661,6115477,2585627,62.500000,1.533985,2.365181
131072,4438276,5230985,1747725,62.500000,1.178607,2.993025
262144,3624142,5278989,1956968,62.500000,1.456618,2.697535
524288,3440266,5970416,1810881,62.500000,1.735452,3.296968
1048576,3897820,5067157,2386182,62.500000,1.299998,2.123542
2097152,3445375,5948139,1811766,62.500000,1.726413,3.283061
4194304,4550932,5360377,2263766,62.500000,1.177864,2.367902
8388608,4281845,5183970,1848468,62.500000,1.210686,2.804468
16777216,4138028,5561744,2135494,62.500000,1.344057,2.604430
